time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-08T11:18:29.450Z,32.9755,-116.439,9.35,1.04,ml,27,62,0.08445,0.22,ci,ci37519647,2016-11-08T14:02:23.332Z,"19km SE of Julian, CA",earthquake,0.33,1,0.192,25,reviewed,ci,ci
2016-11-08T11:00:37.000Z,63.0659,-150.8393,123.9,2.3,ml,,,,0.56,ak,ak14310009,2016-11-08T11:20:31.760Z,"90km NNW of Talkeetna, Alaska",earthquake,0.5,0.7,,,automatic,ak,ak
2016-11-08T10:46:12.980Z,37.5173333,-118.8863333,4.24,0.45,md,21,199,0.08564,0.06,nc,nc72721950,2016-11-08T19:10:33.824Z,"16km SSE of Mammoth Lakes, California",earthquake,0.44,1.18,0.229,17,reviewed,nc,nc
2016-11-08T10:40:34.000Z,61.3166,-146.7377,17.5,2.5,ml,,,,0.78,ak,ak14310004,2016-11-08T10:47:42.299Z,"29km NW of Valdez, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-11-08T10:38:35.050Z,46.2531667,-122.0575,9.46,0.59,ml,10,246,0.05561,0.18,uw,uw61229671,2016-11-08T18:44:28.140Z,"37km SSE of Morton, Washington",earthquake,1.07,1.05,0.142,8,reviewed,uw,uw
2016-11-08T10:31:23.060Z,19.3449993,-155.4891663,8.88,1.86,md,43,45,0.04043,0.22,hv,hv61473336,2016-11-08T10:35:02.910Z,"15km N of Pahala, Hawaii",earthquake,0.38,0.74,0.18,21,automatic,hv,hv
2016-11-08T10:16:42.000Z,61.8746,-150.9582,76.3,2,ml,,,,0.39,ak,ak14309966,2016-11-08T10:36:00.103Z,"50km WNW of Willow, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-11-08T09:58:34.950Z,38.8213348,-122.8069992,2.44,0.79,md,19,79,0.003162,0.02,nc,nc72721940,2016-11-08T10:43:01.676Z,"6km NW of The Geysers, California",earthquake,0.27,0.39,0.13,5,automatic,nc,nc
2016-11-08T09:58:21.890Z,38.8201675,-122.8088303,2.49,1.04,md,20,87,0.003366,0.02,nc,nc72721935,2016-11-08T10:31:02.655Z,"6km NW of The Geysers, California",earthquake,0.27,0.42,0.14,6,automatic,nc,nc
2016-11-08T09:57:59.482Z,38.6029,-118.472,6.7,0.8,ml,7,91.53,0.047,0.0297,nn,nn00565848,2016-11-08T16:46:12.145Z,"15km ENE of Hawthorne, Nevada",earthquake,,1.9,0.12,2,reviewed,nn,nn
2016-11-08T09:54:33.530Z,38.8203316,-122.8081665,2.44,1.69,md,29,74,0.003403,0.03,nc,nc72721930,2016-11-08T10:20:02.665Z,"6km NW of The Geysers, California",earthquake,0.19,0.39,0.09,9,automatic,nc,nc
2016-11-08T09:51:33.710Z,46.1993333,-122.1803333,3.37,0.33,ml,10,139,0.007185,0.19,uw,uw61229666,2016-11-08T18:29:30.650Z,"38km NNE of Amboy, Washington",earthquake,0.47,1.69,0.147,8,reviewed,uw,uw
2016-11-08T09:42:49.580Z,35.2641678,-120.5719986,6.83,1.24,md,7,146,0.07747,0.03,nc,nc72721925,2016-11-08T10:08:01.608Z,"8km ESE of San Luis Obispo, California",earthquake,0.73,1.3,0.27,7,automatic,nc,nc
2016-11-08T09:35:14.900Z,48.256,-114.185,4.82,1.2,md,14,146,0.273,0.15,mb,mb80188659,2016-11-08T15:30:14.350Z,"7km ENE of Evergreen, Montana",earthquake,1.42,7.28,0.168,9,reviewed,mb,mb
2016-11-08T09:31:02.200Z,-2.3681,100.6863,57.06,4.6,mb,,179,2.699,0.72,us,us1000769m,2016-11-08T12:56:27.040Z,"83km WSW of Sungaipenuh, Indonesia",earthquake,9.4,7.3,0.116,22,reviewed,us,us
2016-11-08T09:28:27.790Z,36.9318,-117.5323,0,0.2,ml,9,202.9,0.148,0.1714,nn,nn00565845,2016-11-08T16:39:54.312Z,"59km NE of Lone Pine, California",earthquake,,0,0.27,3,reviewed,nn,nn
2016-11-08T09:25:26.000Z,60.2322,-152.1642,89.1,2,ml,,,,0.53,ak,ak14309963,2016-11-08T09:32:34.250Z,"42km SE of Redoubt Volcano, Alaska",earthquake,0.8,1,,,automatic,ak,ak
2016-11-08T09:16:33.000Z,58.8751,-153.6956,0,2.2,ml,,,,0.61,ak,ak14309928,2016-11-08T09:28:38.069Z,"119km SE of Old Iliamna, Alaska",earthquake,0.6,0.6,,,automatic,ak,ak
2016-11-08T09:11:09.530Z,-58.2127,148.3125,10,4.7,mb,,114,15.335,0.75,us,us1000769i,2016-11-08T12:37:02.040Z,West of Macquarie Island,earthquake,12.1,1.9,0.097,32,reviewed,us,us
